Author,Genus,N_ASD,ASD_Mean,ASD_SD,N_TD,TD_Mean,TD_SD
Coretti,Trichococcus,42,0,0,41,0,0
Coretti,Truepera,42,0,0,41,0,0
Coretti,Turicibacter,42,0.07075,0.291793183,41,0.10775,0.535536205
Coretti,Veillonella,42,0.03032,0.183261289,41,0.00176,0.008669982
Coretti,WAL_1855D,42,0.000666667,0.004028544,41,0.000666667,0.002446168
Coretti,[Eubacterium],42,0.006888889,0.043935784,41,0.024611111,0.324293138
Coretti,[Prevotella],42,0,0,41,0.0005,0.000509175
Coretti,[Ruminococcus],42,0.00855625,0.067805445,41,0.01185625,0.099863935
Coretti,cc_115,42,0.0005,0.002132515,41,0.002,0.005594309
Coretti,rc4-4,42,0.001,0.003,41,0,0
Wang,Abiotrophia,42,0.000235,0.000466,41,9.82E-05,0.000212
Wang,Acetanaerobacterium,42,0,0,41,2.64E-06,1.69E-05
Wang,Acidaminococcus,42,0.00613,0.022772,41,0.001307,0.003374
Wang,Acidovorax,42,8.87E-05,0.000214,41,8.50E-05,0.000165
Wang,Acinetobacter,42,6.43E-06,2.79E-05,41,0.000106,0.000457
Wang,Actinomyces,42,0.000419,0.000426,41,0.000349,0.000576
Wang,Aeribacillus,42,5.14E-06,1.07E-05,41,0,0
Wang,Aerococcus,42,0,0,41,1.32E-06,8.44E-06
Wang,Aeromonas,42,6.43E-07,4.17E-06,41,7.91E-06,4.28E-05
Wang,Agathobacter,42,2.44E-05,6.02E-05,41,1.98E-06,7.12E-06
Wang,Akkermansia,42,0.021205,0.07678,41,0.012703,0.03979
Wang,Alcaligenes,42,0,0,41,6.59E-06,4.22E-05
Wang,Alistipes,42,0.00679,0.009939,41,0.007362,0.011074
Wang,Allisonella,42,0.000168,0.000736,41,0.000146,0.000303
Wang,Alloprevotella,42,5.98E-05,0.000317,41,0.000403,0.001501
Wang,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,42,6.43E-07,4.17E-06,41,4.61E-06,2.56E-05
Wang,Anaerobiospirillum,42,8.36E-06,5.42E-05,41,3.95E-06,2.53E-05
Wang,Anaerococcus,42,2.57E-06,1.16E-05,41,8.56E-06,2.29E-05
Wang,Anaerofilum,42,1.29E-06,5.82E-06,41,5.93E-06,2.67E-05
Wang,Anaerofustis,42,4.50E-06,2.23E-05,41,2.64E-06,1.18E-05
Wang,Anaeroglobus,42,1.93E-06,1.25E-05,41,0,0
Wang,Anaerosporobacter,42,0,0,41,4.61E-06,2.95E-05
Wang,Anaerostipes,42,0.002781,0.00362,41,0.004505,0.007737
Wang,Anaerotruncus,42,0.000246,0.000536,41,0.00014,0.000206
Wang,Angelakisella,42,0,0,41,3.29E-06,2.11E-05
Wang,Anthococcus,42,6.43E-07,4.17E-06,41,0,0
Wang,Arcanobacterium,42,0,0,41,2.64E-06,1.32E-05
Wang,Arthrobacter,42,0,0,41,9.88E-06,3.40E-05
Wang,Asteroleplasma,42,0,0,41,7.25E-06,4.64E-05
Wang,Atopobium,42,7.40E-05,0.000127,41,5.40E-05,0.000141
Wang,Atopostipes,42,0,0,41,1.32E-06,8.44E-06
Wang,Aurantimicrobium,42,0,0,41,1.32E-06,8.44E-06
Wang,Bacillus,42,2.57E-06,1.00E-05,41,0,0
Wang,Bacteroides,42,0.325941,0.189405,41,0.331093,0.18366
Wang,Barnesiella,42,0.000287,0.000823,41,0.000563,0.002437
Wang,Bergeyella,42,1.29E-06,8.34E-06,41,6.59E-07,4.22E-06
Wang,Bifidobacterium,42,0.026224,0.071012,41,0.018209,0.029584
Wang,Blastomonas,42,6.43E-07,4.17E-06,41,0,0
Wang,Blautia,42,0.005818,0.007961,41,0.007718,0.011243
Wang,Bradyrhizobium,42,6.43E-07,4.17E-06,41,7.91E-06,2.28E-05
Wang,Brevibacillus,42,1.93E-06,9.23E-06,41,0,0
Wang,Brevundimonas,42,6.43E-07,4.17E-06,41,2.64E-06,1.32E-05
Wang,Butyricicoccus,42,0.001311,0.001844,41,0.001555,0.002276
Wang,Butyricimonas,42,0.001479,0.003527,41,0.001241,0.002789
Wang,CAG-352,42,0.011191,0.029152,41,0.00794,0.022871
Wang,CAG-56,42,0.000743,0.002161,41,0.000865,0.001948
Wang,Campylobacter,42,7.14E-05,0.000143,41,2.31E-05,4.25E-05
Wang,Candidatus_Soleaferrea,42,5.14E-06,1.07E-05,41,9.22E-06,1.87E-05
Wang,Candidatus_Stoquefichus,42,0,0,41,2.64E-06,1.69E-05
Wang,Capnocytophaga,42,1.29E-06,8.34E-06,41,0,0
Wang,Cardiobacterium,42,1.29E-06,5.82E-06,41,3.29E-06,1.73E-05
Wang,Catabacter,42,6.43E-07,4.17E-06,41,9.88E-06,3.95E-05
Wang,Catenibacterium,42,6.43E-06,4.17E-05,41,2.11E-05,0.000135
Wang,Caulobacter,42,1.29E-06,5.82E-06,41,0,0
Wang,Christensenellaceae_R-7_group,42,0.000839,0.002635,41,0.000777,0.001981
Wang,Chryseobacterium,42,0,0,41,7.25E-06,4.23E-05
Wang,Cloacibacillus,42,3.73E-05,0.000137,41,2.44E-05,0.000156
Wang,Clostridium_sensu_stricto_1,42,0.003386,0.007903,41,0.001784,0.003571
Wang,Clostridium_sensu_stricto_13,42,0,0,41,1.12E-05,7.17E-05
Wang,Collinsella,42,0.005906,0.011711,41,0.003618,0.0063
Wang,Comamonas,42,9.65E-06,3.09E-05,41,1.05E-05,2.25E-05
Wang,Coprobacter,42,9.13E-05,0.000289,41,0.000497,0.001068
Wang,Coprococcus_1,42,0.000214,0.000786,41,0.000314,0.000972
Wang,Coprococcus_2,42,0.000441,0.001782,41,0.000344,0.000974
Wang,Corynebacterium,42,5.14E-06,1.37E-05,41,5.27E-06,1.93E-05
Wang,Corynebacterium_1,42,6.43E-07,4.17E-06,41,1.98E-06,9.34E-06
Wang,Defluviitaleaceae_UCG-011,42,4.50E-06,1.32E-05,41,1.19E-05,5.09E-05
Wang,Desulfovibrio,42,0.000259,0.000936,41,0.001059,0.002509
Wang,Dialister,42,0.004684,0.009874,41,0.003469,0.005278
Wang,Dielma,42,1.09E-05,2.86E-05,41,2.90E-05,7.11E-05
Wang,Dorea,42,0.001141,0.002188,41,0.004413,0.017023
Wang,DTU089,42,8.36E-06,1.93E-05,41,1.65E-05,4.05E-05
Wang,Dysgonomonas,42,2.06E-05,7.40E-05,41,1.98E-06,1.27E-05
Wang,Edwardsiella,42,1.93E-06,1.25E-05,41,0,0
Wang,Eggerthella,42,0.000191,0.000524,41,0.000136,0.000224
Wang,Eisenbergiella,42,2.64E-05,7.24E-05,41,8.50E-05,0.000323
Wang,Emticicia,42,0,0,41,1.32E-06,8.44E-06
Wang,Enorma,42,0,0,41,5.93E-06,2.22E-05
Wang,Enterorhabdus,42,5.79E-06,1.53E-05,41,4.94E-05,0.000134
Wang,Epulopiscium,42,7.78E-05,0.0005,41,0,0
Wang,Erysipelatoclostridium,42,0.002394,0.011715,41,0.001345,0.00232
Wang,Erysipelotrichaceae_UCG-003,42,0.002093,0.004074,41,0.001237,0.002466
Wang,Erysipelotrichaceae_UCG-004,42,1.22E-05,7.92E-05,41,0,0
Wang,Erysipelotrichaceae_UCG-007,42,1.74E-05,3.90E-05,41,9.88E-06,2.40E-05
Wang,Escherichia-Shigella,42,0.007352,0.010486,41,0.022411,0.039594
Wang,Eubacterium,42,5.21E-05,0.000257,41,1.32E-05,4.06E-05
Wang,[Eubacterium]_brachy_group,42,2.57E-06,1.00E-05,41,4.61E-06,1.47E-05
Wang,[Eubacterium]_coprostanoligenes_group,42,0.002791,0.007855,41,0.001828,0.003086
Wang,[Eubacterium]_eligens_group,42,0.007048,0.010962,41,0.007839,0.016561
Wang,[Eubacterium]_fissicatena_group,42,3.86E-06,1.85E-05,41,1.19E-05,4.27E-05
Wang,[Eubacterium]_hallii_group,42,0.000259,0.000486,41,0.000333,0.000609
Wang,[Eubacterium]_nodatum_group,42,1.74E-05,3.67E-05,41,1.58E-05,3.36E-05
Wang,[Eubacterium]_ruminantium_group,42,7.14E-05,0.000325,41,0.000348,0.00164
Wang,[Eubacterium]_ventriosum_group,42,0.000168,0.00051,41,0.00013,0.000418
Wang,[Eubacterium]_xylanophilum_group,42,0.000185,0.000894,41,3.36E-05,0.000215
Wang,Ezakiella,42,2.57E-05,9.91E-05,41,4.74E-05,0.000175
Wang,F0332,42,3.22E-06,1.07E-05,41,1.32E-06,5.89E-06
Wang,Facklamia,42,0,0,41,3.29E-06,2.11E-05
Wang,Faecalibacterium,42,0.098729,0.071356,41,0.093919,0.075327
Wang,Faecalitalea,42,3.34E-05,0.000103,41,2.77E-05,7.00E-05
Wang,Falsochrobactrum,42,6.43E-07,4.17E-06,41,4.61E-06,2.25E-05
Wang,Family_XIII_AD3011_group,42,5.02E-05,0.000135,41,8.30E-05,0.000223
Wang,Family_XIII_UCG-001,42,2.12E-05,5.95E-05,41,2.77E-05,8.29E-05
Wang,Fastidiosipila,42,0,0,41,6.59E-07,4.22E-06
Wang,Finegoldia,42,2.57E-06,1.00E-05,41,2.64E-06,1.01E-05
Wang,Flavonifractor,42,0.001176,0.002022,41,0.002381,0.003066
Wang,Flectobacillus,42,0,0,41,7.25E-06,4.64E-05
Wang,Fournierella,42,5.98E-05,0.000383,41,0.000115,0.000666
Wang,Fretibacterium,42,1.93E-06,9.23E-06,41,6.59E-07,4.22E-06
Wang,Fusicatenibacter,42,0.005989,0.006657,41,0.010822,0.020685
Wang,Fusobacterium,42,0.010353,0.062342,41,0.001051,0.004164
Wang,GCA-900066225,42,7.07E-06,3.05E-05,41,8.17E-05,0.000502
Wang,GCA-900066575,42,0.000114,0.000496,41,2.57E-05,7.17E-05
Wang,GCA-900066755,42,1.93E-06,1.25E-05,41,1.45E-05,4.44E-05
Wang,Gemella,42,0.000173,0.000224,41,8.37E-05,0.000103
Wang,Gordonibacter,42,5.14E-06,1.37E-05,41,1.98E-06,7.12E-06
Wang,Granulicatella,42,0.001057,0.001524,41,0.000796,0.001467
Wang,Haemophilus,42,0.015209,0.028316,41,0.010731,0.035368
Wang,Harryflintia,42,1.93E-06,9.23E-06,41,7.91E-06,2.51E-05
Wang,Herbaspirillum,42,1.16E-05,2.61E-05,41,3.62E-05,0.000115
Wang,Holdemanella,42,2.89E-05,0.000188,41,4.88E-05,0.000269
Wang,Holdemania,42,8.42E-05,0.000127,41,0.000132,0.000203
Wang,Howardella,42,9.65E-06,5.84E-05,41,3.29E-06,2.11E-05
Wang,Hungatella,42,0.001163,0.001749,41,0.002536,0.005082
Wang,Hyaloperonospora_arabidopsidis,42,0,0,41,6.59E-07,4.22E-06
Wang,Hydrogenoanaerobacterium,42,3.22E-06,1.71E-05,41,6.59E-07,4.22E-06
Wang,Intestinimonas,42,9.20E-05,0.000261,41,4.15E-05,0.000113
Wang,Ipomoea_batatas__sweet_potato_,42,6.43E-07,4.17E-06,41,2.64E-06,1.18E-05
Wang,Johnsonella,42,6.43E-07,4.17E-06,41,6.59E-07,4.22E-06
Wang,Kingella,42,0,0,41,4.61E-06,2.95E-05
Wang,Klebsiella,42,0.002675,0.00565,41,0.002737,0.006085
Wang,Lachnoanaerobaculum,42,1.03E-05,2.66E-05,41,4.61E-06,1.34E-05
Wang,Lachnoclostridium,42,0.003628,0.004777,41,0.006538,0.009254
Wang,Lachnospira,42,0.015513,0.031036,41,0.016458,0.029054
Wang,Lachnospiraceae_FCS020_group,42,8.49E-05,0.000215,41,0.000184,0.000589
Wang,Lachnospiraceae_NC2004_group,42,0.013088,0.023825,41,0.001679,0.0044
Wang,Lachnospiraceae_ND3007_group,42,0.001214,0.002129,41,0.000584,0.00106
Wang,Lachnospiraceae_NK4A136_group,42,0.007592,0.010904,41,0.006592,0.010677
Wang,Lachnospiraceae_UCG-001,42,0.000462,0.001039,41,0.001316,0.005725
Wang,Lachnospiraceae_UCG-003,42,0.004176,0.025705,41,0.0003,0.001418
Wang,Lachnospiraceae_UCG-008,42,8.36E-05,0.000203,41,0.000159,0.000381
Wang,Lachnospiraceae_UCG-010,42,0.000146,0.000418,41,3.36E-05,7.42E-05
Wang,Lactobacillus,42,0.00043,0.001591,41,0.000121,0.000414
Wang,Lactococcus,42,0.000111,0.000387,41,9.88E-06,3.01E-05
Wang,Lautropia,42,1.86E-05,4.97E-05,41,1.25E-05,2.77E-05
Wang,Lawsonella,42,6.43E-07,4.17E-06,41,1.32E-06,5.89E-06
Wang,Leptotrichia,42,8.36E-06,2.19E-05,41,1.19E-05,3.14E-05
Wang,Leuconostoc,42,7.40E-05,0.000237,41,5.27E-06,2.58E-05
Wang,Mailhella,42,5.40E-05,0.00035,41,2.37E-05,0.000148
Wang,Marvinbryantia,42,1.93E-06,7.04E-06,41,4.61E-06,1.59E-05
Wang,Massilia,42,2.57E-06,1.67E-05,41,0,0
Wang,Megamonas,42,0.004044,0.013172,41,0.009806,0.040242
Wang,Megasphaera,42,0.002561,0.007152,41,0.004601,0.014811
Wang,Merdibacter,42,1.29E-06,5.82E-06,41,3.95E-06,1.42E-05
Wang,Mesorhizobium,42,1.29E-06,8.34E-06,41,6.59E-07,4.22E-06
Wang,Methylobacterium,42,3.86E-06,2.50E-05,41,1.45E-05,9.28E-05
Wang,Methyloversatilis,42,1.29E-06,8.34E-06,41,0,0
Wang,Mogibacterium,42,2.25E-05,0.000112,41,4.61E-06,1.47E-05
Wang,Morganella,42,2.57E-06,1.67E-05,41,1.05E-05,6.33E-05
Wang,Moryella,42,0,0,41,3.29E-06,2.11E-05
Wang,Murdochiella,42,1.29E-06,8.34E-06,41,0,0
Wang,Mycobacterium,42,2.57E-06,1.31E-05,41,0,0
Wang,Mycoplasma,42,0,0,41,3.29E-06,2.11E-05
Wang,Negativibacillus,42,0.000152,0.000402,41,0.000199,0.000545
Wang,Negativicoccus,42,6.43E-07,4.17E-06,41,0,0
Wang,Neisseria,42,9.00E-05,0.000164,41,3.03E-05,5.27E-05
Wang,Nevskia,42,0,0,41,2.64E-06,1.69E-05
Wang,Nitrospira,42,0,0,41,6.59E-07,4.22E-06
Wang,Niveispirillum,42,1.29E-06,8.34E-06,41,0,0
Wang,Oceanivirga,42,1.29E-06,5.82E-06,41,1.38E-05,5.34E-05
Wang,Odoribacter,42,0.001266,0.002178,41,0.002156,0.005535
Wang,Olsenella,42,1.93E-06,9.23E-06,41,2.37E-05,9.04E-05
Wang,Oribacterium,42,6.43E-06,1.56E-05,41,3.95E-06,1.14E-05
Wang,Oscillibacter,42,0.001267,0.001747,41,0.001512,0.001868
Wang,Oscillospira,42,0,0,41,3.29E-05,0.00017
Wang,Paeniclostridium,42,2.89E-05,0.000128,41,2.64E-05,0.00016
Wang,Paenochrobactrum,42,0,0,41,6.59E-07,4.22E-06
Wang,Parabacteroides,42,0.011467,0.016354,41,0.022553,0.038597
Wang,Paraclostridium,42,1.93E-06,9.23E-06,41,4.61E-06,2.56E-05
Wang,Paraprevotella,42,0.001714,0.007079,41,0.000726,0.003847
Wang,Parasutterella,42,0.017467,0.022776,41,0.011824,0.01854
Wang,Parvimonas,42,3.28E-05,9.29E-05,41,1.05E-05,2.95E-05
Wang,Peptococcus,42,0.000112,0.000263,41,5.47E-05,0.000244
Wang,Peptoniphilus,42,4.50E-06,1.88E-05,41,5.93E-06,2.60E-05
Wang,Peptostreptococcus,42,1.29E-05,3.64E-05,41,3.29E-05,7.91E-05
Wang,Phascolarctobacterium,42,0.021263,0.046351,41,0.034202,0.049628
Wang,Phocea,42,7.65E-05,0.000174,41,0.000108,0.000197
Wang,Porphyromonas,42,3.54E-05,0.000152,41,3.03E-05,7.99E-05
Wang,Prevotella,42,6.43E-05,0.000142,41,0.000246,0.000595
Wang,Prevotella_2,42,0.000325,0.001463,41,0.0014,0.00896
Wang,Prevotella_6,42,7.72E-05,0.000308,41,3.56E-05,0.000181
Wang,Prevotella_7,42,0.002598,0.01271,41,0.003756,0.017089
Wang,Prevotella_9,42,0.106023,0.255497,41,0.126585,0.275873
Wang,Prevotellaceae_NK3B31_group,42,0,0,41,0.001288,0.007105
Wang,Prevotellaceae_UCG-001,42,0.003907,0.019068,41,0,0
Wang,Prevotellaceae_UCG-003,42,6.43E-07,4.17E-06,41,0,0
Wang,Proteus,42,9.65E-06,4.13E-05,41,6.59E-07,4.22E-06
Wang,Pseudomonas,42,3.60E-05,0.000212,41,1.25E-05,4.76E-05
Wang,Pseudoramibacter,42,3.15E-05,0.000204,41,0,0
Wang,Pyramidobacter,42,0.002525,0.015583,41,0.000164,0.0005
Wang,Ralstonia,42,1.03E-05,4.38E-05,41,1.98E-05,3.36E-05
Wang,Rikenella,42,1.29E-06,8.34E-06,41,0,0
Wang,Romboutsia,42,8.42E-05,0.000476,41,0,0
Wang,Roseburia,42,0.036797,0.050081,41,0.033964,0.052158
Wang,Rothia,42,0.00035,0.000528,41,0.000279,0.00043
Wang,Ruminiclostridium,42,9.65E-06,3.72E-05,41,1.84E-05,6.20E-05
Wang,Ruminiclostridium_1,42,3.22E-06,1.07E-05,41,1.52E-05,6.91E-05
Wang,Ruminiclostridium_5,42,0.000512,0.00061,41,0.000698,0.000895
Wang,Ruminiclostridium_6,42,0.001918,0.006248,41,2.64E-06,1.18E-05
Wang,Ruminiclostridium_9,42,0.000749,0.0008,41,0.001314,0.002231
Wang,Ruminococcaceae_NK4A214_group,42,0.0002,0.00041,41,0.000679,0.001918
Wang,Ruminococcaceae_UCG-002,42,0.002864,0.004755,41,0.003266,0.004909
Wang,Ruminococcaceae_UCG-003,42,0.001837,0.002573,41,0.001783,0.002657
Wang,Ruminococcaceae_UCG-004,42,0.000123,0.000191,41,0.000156,0.000377
Wang,Ruminococcaceae_UCG-005,42,0.001161,0.002028,41,0.001398,0.004129
Wang,Ruminococcaceae_UCG-008,42,0.000176,0.000633,41,5.40E-05,0.000198
Wang,Ruminococcaceae_UCG-009,42,7.72E-06,2.69E-05,41,4.22E-05,0.000106
Wang,Ruminococcaceae_UCG-010,42,0.000183,0.000849,41,0.000443,0.002753
Wang,Ruminococcaceae_UCG-013,42,0.001693,0.001926,41,0.002291,0.005215
Wang,Ruminococcaceae_UCG-014,42,0.000964,0.002542,41,0.001553,0.005238
Wang,Ruminococcus_1,42,0.00163,0.005487,41,0.000527,0.001589
Wang,Ruminococcus_2,42,0.000689,0.003335,41,0.000139,0.000388
Wang,[Ruminococcus]_gauvreauii_group,42,1.22E-05,3.17E-05,41,4.35E-05,0.000233
Wang,[Ruminococcus]_gnavus_group,42,0.00701,0.014005,41,0.013611,0.033982
Wang,[Ruminococcus]_torques_group,42,0.01051,0.024749,41,0.008104,0.010907
Wang,S5-A14a,42,1.93E-06,9.23E-06,41,1.98E-06,7.12E-06
Wang,Sanguibacteroides,42,0,0,41,6.59E-06,4.22E-05
Wang,Sarcina,42,4.50E-06,2.92E-05,41,1.05E-05,6.75E-05
Wang,Scardovia,42,6.43E-07,4.17E-06,41,3.29E-06,1.08E-05
Wang,Schlegelella,42,0,0,41,1.32E-06,5.89E-06
Wang,Selenomonas,42,0,0,41,3.95E-06,1.77E-05
Wang,Selenomonas_3,42,2.64E-05,4.40E-05,41,4.22E-05,6.81E-05
Wang,Selenomonas_4,42,0.000102,0.000476,41,1.32E-06,5.89E-06
Wang,Sellimonas,42,0.000394,0.00104,41,0.000383,0.000771
Wang,Senegalimassilia,42,3.73E-05,0.000171,41,1.98E-06,1.27E-05
Wang,Shuttleworthia,42,3.22E-06,2.08E-05,41,2.31E-05,0.000131
Wang,Slackia,42,4.50E-06,2.14E-05,41,5.73E-05,0.000232
Wang,Sphingobacterium,42,0,0,41,9.88E-06,6.33E-05
Wang,Sphingomonas,42,3.54E-05,0.000146,41,0.002613,0.007214
